Bus Number,Direction,Stop Order,Stop Name,Arrival Time,Departure Time,Frequency,Day Type,Fare,Connections
21,Inbound,1,"Film Theatre, Shelton",05:58,06:00,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",06:13,06:15,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",06:28,06:30,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",06:43,06:45,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,06:58,07:00,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",07:13,07:15,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,07:28,07:30,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",06:13,06:15,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",06:28,06:30,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",06:43,06:45,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",06:58,07:00,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,07:13,07:15,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",07:28,07:30,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,07:43,07:45,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",06:28,06:30,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",06:43,06:45,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",06:58,07:00,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",07:13,07:15,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,07:28,07:30,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",07:43,07:45,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,07:58,08:00,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",06:43,06:45,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",06:58,07:00,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",07:13,07:15,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",07:28,07:30,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,07:43,07:45,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",07:58,08:00,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,08:13,08:15,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",06:58,07:00,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",07:13,07:15,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",07:28,07:30,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",07:43,07:45,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,07:58,08:00,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",08:13,08:15,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,08:28,08:30,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",07:13,07:15,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",07:28,07:30,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",07:43,07:45,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",07:58,08:00,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,08:13,08:15,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",08:28,08:30,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,08:43,08:45,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",07:28,07:30,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",07:43,07:45,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",07:58,08:00,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",08:13,08:15,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,08:28,08:30,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",08:43,08:45,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,08:58,09:00,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",07:43,07:45,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",07:58,08:00,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",08:13,08:15,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",08:28,08:30,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,08:43,08:45,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",08:58,09:00,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,09:13,09:15,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",07:58,08:00,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",08:13,08:15,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",08:28,08:30,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",08:43,08:45,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,08:58,09:00,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",09:13,09:15,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,09:28,09:30,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",08:13,08:15,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",08:28,08:30,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",08:43,08:45,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",08:58,09:00,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,09:13,09:15,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",09:28,09:30,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,09:43,09:45,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",08:28,08:30,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",08:43,08:45,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",08:58,09:00,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",09:13,09:15,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,09:28,09:30,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",09:43,09:45,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,09:58,10:00,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",08:43,08:45,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",08:58,09:00,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",09:13,09:15,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",09:28,09:30,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,09:43,09:45,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",09:58,10:00,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,10:13,10:15,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",08:58,09:00,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",09:13,09:15,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",09:28,09:30,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",09:43,09:45,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,09:58,10:00,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",10:13,10:15,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,10:28,10:30,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",09:13,09:15,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",09:28,09:30,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",09:43,09:45,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",09:58,10:00,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,10:13,10:15,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",10:28,10:30,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,10:43,10:45,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",09:28,09:30,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",09:43,09:45,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",09:58,10:00,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",10:13,10:15,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,10:28,10:30,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",10:43,10:45,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,10:58,11:00,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",09:43,09:45,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",09:58,10:00,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",10:13,10:15,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",10:28,10:30,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,10:43,10:45,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",10:58,11:00,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,11:13,11:15,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",09:58,10:00,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",10:13,10:15,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",10:28,10:30,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",10:43,10:45,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,10:58,11:00,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",11:13,11:15,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,11:28,11:30,Every 20m,Weekday,£2.70,"7, 6A"
21,Inbound,1,"Film Theatre, Shelton",10:13,10:15,Every 20m,Weekday,£1.20,None
21,Inbound,2,"Seaford Street, Shelton",10:28,10:30,Every 20m,Weekday,£1.50,None
21,Inbound,3,"Wellesley Street, Hanley",10:43,10:45,Every 20m,Weekday,£1.50,None
21,Inbound,4,"Hanley, Stop S1",10:58,11:00,Every 20m,Weekday,£1.80,None
21,Inbound,5,Hanley Bus Station,11:13,11:15,Every 20m,Weekday,£2.00,None
21,Inbound,6,"Harding Road, Hanley",11:28,11:30,Every 20m,Weekday,£2.30,None
21,Inbound,7,Hanley Bus Station,11:43,11:45,Every 20m,Weekday,£2.70,"7, 6A"
